date,time,segment,symbol,type,qty,trade_price,trade_val,order_id
17/04/2025,09:49 AM,NSE_CASH,ESCORTS,BUY,1.0,3243.0,3243.0,1100000010638561
17/04/2025,09:47 AM,NSE_CASH,VOLTAS,BUY,3.0,1273.0,3819.0,1300000011289214
17/04/2025,09:48 AM,NSE_CASH,SAIL,BUY,27.0,114.83,3100.41,1300000011468698
17/04/2025,09:47 AM,NSE_CASH,MPHASIS,BUY,2.0,2248.7,4497.4,1200000012079284
16/04/2025,09:30 AM,NSE_CASH,BPCL,SELL,30.0,295.2,8856.0,1000000005004006
04/04/2025,01:46 PM,NSE_FNO,IO PE NIFTY 24Apr2025 23500,BUY,75.0,623.95,46796.25,1100000134028997
04/04/2025,01:46 PM,NSE_FNO,IO PE NIFTY 29May2025 23500,SELL,75.0,706.85,53013.75,1100000134030591
02/04/2025,02:43 PM,NSE_FNO,IO PE NIFTY 24Apr2025 23500,SELL,75.0,323.3,24247.5,1100000164675925
02/04/2025,02:42 PM,NSE_FNO,IO PE NIFTY 24Apr2025 23000,BUY,75.0,141.0,10575.0,1500000168241174
02/04/2025,02:42 PM,NSE_FNO,IO PE NIFTY 29May2025 23000,SELL,75.0,277.2,20790.0,1500000168331946
02/04/2025,02:43 PM,NSE_FNO,IO PE NIFTY 29May2025 23500,BUY,75.0,457.0,34275.0,1100000164626200
01/04/2025,01:22 PM,NSE_FNO,IO PE NIFTY 24Apr2025 23500,BUY,75.0,383.2,28740.0,1100000142357510
01/04/2025,01:23 PM,NSE_FNO,IO PE NIFTY 24Apr2025 23000,SELL,75.0,180.3,13522.5,1500000141404963
01/04/2025,01:23 PM,NSE_FNO,IO PE NIFTY 29May2025 23000,BUY,75.0,325.1,24382.5,1500000141242140
01/04/2025,01:22 PM,NSE_FNO,IO PE NIFTY 29May2025 23500,SELL,75.0,510.2,38265.0,1100000142438293
