date,time,segment,symbol,type,qty,trade_price,trade_val,order_id
10/06/2024,12:37 PM,NSE_CASH,ASHOKLEY,BUY,9.0,230.52,2074.68,1000000031488371
04/06/2024,10:02 AM,NSE_CASH,ASHOKLEY,BUY,3.0,228.1,684.3,1000000017608028
03/06/2024,11:26 AM,NSE_CASH,TITAN,SELL,1.0,3265.6,3265.6,1300000025227284
03/06/2024,11:52 AM,NSE_CASH,PVRINOX,BUY,1.0,1333.6,1333.6,1200000032605487
03/06/2024,11:54 AM,NSE_CASH,AARTIIND,BUY,1.0,627.5,627.5,1000000032666237
03/06/2024,11:55 AM,NSE_CASH,CASTROLIND,BUY,3.0,195.2,585.6,1000000032765291
