symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
ADANIPORTS,INE742F01042,2023-06-28,NSE,EQ,EQ,sell,false,1.000000,731.800000,388344,1000000002024998,2023-06-28T09:26:23
ASIANPAINT,INE021A01026,2023-06-28,NSE,EQ,EQ,sell,false,1.000000,3327.400000,390527,1000000002038830,2023-06-28T09:26:28
BAJAJFINSV,INE918I01026,2023-06-28,NSE,EQ,EQ,sell,false,1.000000,1528.800000,392046,1000000002048716,2023-06-28T09:26:33
BPCL,INE029A01011,2023-06-28,NSE,EQ,EQ,sell,false,3.000000,361.250000,393803,1000000002057682,2023-06-28T09:26:37
HDFCBANK,INE040A01034,2023-06-28,NSE,EQ,EQ,sell,false,1.000000,1664.200000,25360851,1100000002117322,2023-06-28T09:26:41
HEROMOTOCO,INE158A01026,2023-06-28,NSE,EQ,EQ,sell,false,1.000000,2840.650000,25362342,1100000002126067,2023-06-28T09:26:46
INFY,INE009A01021,2023-06-28,NSE,EQ,EQ,sell,false,1.000000,1286.250000,25363942,1100000002134624,2023-06-28T09:26:50
TCS,INE467B01029,2023-06-28,NSE,EQ,EQ,sell,false,1.000000,3199.000000,75389289,1300000001973011,2023-06-28T09:26:54
TECHM,INE669C01036,2023-06-28,NSE,EQ,EQ,sell,false,1.000000,1116.500000,75390769,1300000001980451,2023-06-28T09:26:59
TITAN,INE280A01028,2023-06-28,BSE,EQ,A,sell,false,1.000000,2992.350000,233300,1687923000008148308,2023-06-28T09:27:03
ULTRACEMCO,INE481G01011,2023-06-28,NSE,EQ,EQ,sell,false,1.000000,8215.250000,75395662,1300000002000106,2023-06-28T09:27:10
GRASIM,INE047A01021,2023-10-16,NSE,EQ,EQ,buy,false,3.000000,1988.900000,20591715,1100000002832753,2023-10-16T09:26:25
M&M,INE101A01026,2023-10-16,NSE,EQ,EQ,buy,false,4.000000,1562.150000,40604207,1200000002923452,2023-10-16T09:26:47
TATACONSUM,INE192A01025,2023-10-16,NSE,EQ,EQ,buy,false,7.000000,913.750000,60584662,1300000002678345,2023-10-16T09:27:08
TATASTEEL,INE081A01020,2023-10-16,NSE,EQ,EQ,buy,false,8.000000,125.800000,60596207,1300000002735544,2023-10-16T09:27:28
TATASTEEL,INE081A01020,2023-10-16,NSE,EQ,EQ,sell,false,8.000000,125.750000,60601630,1300000002763058,2023-10-16T09:27:39
JSWSTEEL,INE019A01038,2023-10-16,NSE,EQ,EQ,buy,false,8.000000,778.800000,40651230,1200000003179899,2023-10-16T09:27:58
TATACONSUM,INE192A01025,2023-10-17,NSE,EQ,EQ,sell,false,7.000000,922.350000,61618752,1300000008200592,2023-10-17T10:12:08
GRASIM,INE047A01021,2023-10-17,NSE,EQ,EQ,buy,false,1.000000,1976.400000,22483080,1100000011911811,2023-10-17T11:00:09
JSWSTEEL,INE019A01038,2023-10-17,NSE,EQ,EQ,buy,false,2.000000,792.700000,42553842,1200000014167846,2023-10-17T11:00:27
M&M,INE101A01026,2023-10-17,NSE,EQ,EQ,buy,false,1.000000,1581.500000,42555886,1200000014180249,2023-10-17T11:00:35
JSWSTEEL,INE019A01038,2023-10-17,NSE,EQ,EQ,buy,false,1.000000,793.050000,42597297,1200000014455604,2023-10-17T11:03:32
GRASIM,INE047A01021,2023-10-19,NSE,EQ,EQ,sell,false,1.000000,1936.250000,21243902,1100000006370617,2023-10-19T09:49:51
JSWSTEEL,INE019A01038,2023-10-19,NSE,EQ,EQ,sell,false,3.000000,774.250000,41284565,1200000007152651,2023-10-19T09:50:32
M&M,INE101A01026,2023-10-19,NSE,EQ,EQ,sell,false,1.000000,1569.300000,41303505,1200000007255817,2023-10-19T09:51:05
KOTAKBANK,INE237A01028,2023-10-19,NSE,EQ,EQ,buy,false,3.000000,1745.900000,41341618,1200000007516302,2023-10-19T09:52:41
BAJAJ-AUTO,INE917I01010,2023-10-20,NSE,EQ,EQ,buy,false,1.000000,5473.950000,65571,1000000000376807,2023-10-20T09:16:04
GRASIM,INE047A01021,2023-10-20,NSE,EQ,EQ,sell,false,1.000000,1973.200000,20103799,1100000000555066,2023-10-20T09:16:12
JSWSTEEL,INE019A01038,2023-10-20,BSE,EQ,A,sell,false,2.000000,775.850000,141300,1697771803829070161,2023-10-20T09:16:20
M&M,INE101A01026,2023-10-20,NSE,EQ,EQ,sell,false,1.000000,1559.250000,40126524,1200000000618065,2023-10-20T09:16:30
JSWSTEEL,INE019A01038,2023-10-23,NSE,EQ,EQ,buy,false,1.000000,759.000000,46284926,1200000045321389,2023-10-23T14:38:48
JSWSTEEL,INE019A01038,2023-10-23,NSE,EQ,EQ,sell,false,1.000000,751.200000,46992198,1200000048913462,2023-10-23T15:05:21
JSWSTEEL,INE019A01038,2023-10-23,BSE,EQ,A,sell,false,1.000000,751.000000,8237400,1698053045740205259,2023-10-23T15:07:10
KOTAKBANK,INE237A01028,2023-10-23,NSE,EQ,EQ,sell,false,1.000000,1739.950000,47059159,1200000049198217,2023-10-23T15:07:26
TATASTEEL,INE081A01020,2023-10-23,NSE,EQ,EQ,buy,false,28.000000,120.050000,66966270,1300000039127408,2023-10-23T15:08:37
AUROPHARMA,INE406A01037,2023-11-07,NSE,EQ,EQ,buy,false,2.000000,881.600000,418369,1000000002233646,2023-11-07T09:25:16
MPHASIS,INE356A01018,2023-11-07,NSE,EQ,EQ,buy,false,1.000000,2202.500000,40497788,1200000002502841,2023-11-07T09:26:09
ESCORTS,INE042A01014,2023-11-07,NSE,EQ,EQ,buy,false,1.000000,3086.800000,20502691,1100000002501709,2023-11-07T09:26:48
IGL,INE203G01027,2023-11-07,NSE,EQ,EQ,buy,false,4.000000,399.200000,20603029,1100000002959651,2023-11-07T09:30:27
OBEROIRLTY,INE093I01010,2023-11-07,NSE,EQ,EQ,buy,false,1.000000,1232.200000,40654215,1200000003342127,2023-11-07T09:31:18
PETRONET,INE347G01014,2023-11-07,NSE,EQ,EQ,buy,false,8.000000,200.450000,40710813,1200000003641924,2023-11-07T09:33:09
BIOCON,INE376G01013,2023-11-07,NSE,EQ,EQ,buy,false,7.000000,224.100000,629657,1000000002795719,2023-11-07T09:33:57
SAIL,INE114A01011,2023-11-07,NSE,EQ,EQ,buy,false,19.000000,85.100000,60791172,1300000003699683,2023-11-07T09:34:34
VOLTAS,INE226A01021,2023-11-07,NSE,EQ,EQ,buy,false,2.000000,826.550000,60838829,1300000003943679,2023-11-07T09:36:18
BRITANNIA,INE216A01030,2023-11-07,NSE,EQ,EQ,buy,false,1.000000,4603.900000,1195038,1000000007427333,2023-11-07T10:07:22
KOTAKBANK,INE237A01028,2023-11-07,NSE,EQ,EQ,sell,false,2.000000,1727.700000,41496536,1200000008262269,2023-11-07T10:08:48
ONGC,INE213A01029,2023-11-07,NSE,EQ,EQ,buy,false,9.000000,196.000000,41527018,1200000008457949,2023-11-07T10:10:51
