symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
BRITANNIA,INE216A01030,2025-04-11,NSE,EQ,EQ,sell,false,2.000000,5336.150000,423900,1000000002486959,2025-04-11T09:19:58
BRITANNIA,INE216A01030,2025-04-11,NSE,EQ,EQ,sell,false,1.000000,5336.150000,423898,1000000002486959,2025-04-11T09:19:58
BRITANNIA,INE216A01030,2025-04-11,NSE,EQ,EQ,sell,false,1.000000,5336.150000,423899,1000000002486959,2025-04-11T09:19:58
SBILIFE,INE123W01016,2025-04-11,NSE,EQ,EQ,buy,false,14.000000,1509.000000,600654961,1300000003419960,2025-04-11T09:21:06
GOLDIETF-E,INF109KC1NT3,2025-04-16,BSE,EQ,E,sell,false,3.000000,81.340000,840200,1744775100033024331,2025-04-16T09:27:09
GOLDIETF-E,INF109KC1NT3,2025-04-16,BSE,EQ,E,sell,false,50.000000,81.340000,848100,1744775100033024331,2025-04-16T09:27:09
GOLDIETF-E,INF109KC1NT3,2025-04-16,BSE,EQ,E,sell,false,2.000000,81.340000,840000,1744775100033024331,2025-04-16T09:27:09
GOLDIETF-E,INF109KC1NT3,2025-04-16,BSE,EQ,E,sell,false,2.000000,81.340000,835400,1744775100033024331,2025-04-16T09:27:09
GOLDIETF-E,INF109KC1NT3,2025-04-16,BSE,EQ,E,sell,false,86.000000,81.340000,849200,1744775100033024331,2025-04-16T09:27:09
GOLDIETF-E,INF109KC1NT3,2025-04-16,BSE,EQ,E,sell,false,187.000000,81.340000,858100,1744775100033024331,2025-04-16T09:27:09
AARTIIND,INE769A01020,2025-04-16,NSE,EQ,EQ,buy,false,10.000000,401.350000,1050315,1000000007531332,2025-04-16T09:41:44
ARE&M,INE885A01032,2025-04-16,NSE,EQ,EQ,buy,false,4.000000,996.000000,1057617,1000000007613968,2025-04-16T09:42:10
CASTROLIND,INE172A01027,2025-04-16,NSE,EQ,EQ,buy,false,21.000000,204.940000,1069587,1000000007692623,2025-04-16T09:42:36
CYIENT,INE136B01020,2025-04-16,NSE,EQ,EQ,buy,false,3.000000,1188.300000,1151231,1000000007807615,2025-04-16T09:43:10
GSPL,INE246F01010,2025-04-16,NSE,EQ,EQ,buy,false,11.000000,312.400000,202010566,1100000012672243,2025-04-16T09:54:15
GSPL,INE246F01010,2025-04-16,NSE,EQ,EQ,buy,false,2.000000,312.400000,202010567,1100000012672243,2025-04-16T09:54:15
IIFL,INE530B01024,2025-04-16,NSE,EQ,EQ,buy,false,12.000000,333.450000,202034470,1100000012847279,2025-04-16T09:55:11
NAM-INDIA,INE298J01013,2025-04-16,NSE,EQ,EQ,buy,false,7.000000,585.150000,402077734,1200000013844541,2025-04-16T09:55:37
NATIONALUM,INE139A01034,2025-04-16,NSE,EQ,EQ,buy,false,28.000000,152.180000,402102088,1200000014011949,2025-04-16T09:56:19
NATCOPHARM,INE987B01026,2025-04-16,NSE,EQ,EQ,buy,false,4.000000,822.700000,402241279,1200000015079807,2025-04-16T10:00:50
NATCOPHARM,INE987B01026,2025-04-16,NSE,EQ,EQ,buy,false,1.000000,822.600000,402241278,1200000015079807,2025-04-16T10:00:50
PEL,INE140A01024,2025-04-16,NSE,EQ,EQ,buy,false,2.000000,990.950000,402290739,1200000015179952,2025-04-16T10:01:16
PEL,INE140A01024,2025-04-16,NSE,EQ,EQ,buy,false,2.000000,990.950000,402290740,1200000015179952,2025-04-16T10:01:16
TATACOMM,INE151A01013,2025-04-17,NSE,EQ,EQ,sell,false,2.000000,1586.500000,600992973,1300000003422772,2025-04-17T09:22:03
CONCOR,INE111A01025,2025-04-17,NSE,EQ,EQ,sell,false,3.000000,697.100000,491862,1000000002998436,2025-04-17T09:22:21
BSOFT,INE836A01035,2025-04-17,NSE,EQ,EQ,buy,false,8.000000,365.800000,1033239,1000000007285779,2025-04-17T09:37:20
BSOFT,INE836A01035,2025-04-17,NSE,EQ,EQ,buy,false,3.000000,365.800000,1033238,1000000007285779,2025-04-17T09:37:20
SONATSOFTW,INE269A01021,2025-04-17,NSE,EQ,EQ,buy,false,13.000000,303.200000,601445603,1300000008508401,2025-04-17T09:37:40
